Bird ID,Latitude,Longitude
51620,41.24651,-77.78386
51620,41.24629,-77.78363
51620,41.24321,-77.79103
51620,41.24287,-77.79098
51620,41.24665,-77.77411
51620,41.24657,-77.78054
51620,41.24598,-77.78281
51620,41.24602,-77.78248
51620,41.24564,-77.78255
51620,41.24301,-77.78699
51620,41.24589,-77.78267
51620,41.24686,-77.78325
51620,41.24704,-77.78288
51620,41.24579,-77.78047
51618,41.0982,-78.00794
51618,41.09771,-78.00877
51618,41.09848,-78.0086
51618,41.09894,-78.00721
51618,41.10061,-78.00771
51618,41.09791,-78.00827
51618,41.09873,-78.00893
51618,41.09873,-78.00876
51618,41.09856,-78.00856
51618,41.09878,-78.0088
51618,41.09896,-78.00722
51618,41.10207,-78.008
51618,41.09749,-78.00648
51618,41.09884,-78.00845
51618,41.1002,-78.00759
51618,41.09874,-78.00872
51618,41.09877,-78.00879
51618,41.10344,-78.00616
51618,41.10369,-78.00719
51618,41.10359,-78.00641
51618,41.10161,-78.00727
51574,41.3027,-77.75933
51574,41.30615,-77.75468
51574,41.30591,-77.75414
51574,41.30737,-77.75613
51574,41.3077,-77.75579
51574,41.30751,-77.75727
51574,41.30784,-77.75713
51574,41.30725,-77.75725
51574,41.30785,-77.75778
51574,41.30708,-77.75796
51574,41.30807,-77.75782
51574,41.30765,-77.75596
51574,41.3079,-77.75785
51574,41.30659,-77.75318
51574,41.30759,-77.75511
51578,41.27987,-77.74746
51578,41.28006,-77.74587
51578,41.27969,-77.74524
51578,41.27631,-77.74125
51578,41.27958,-77.74569
51578,41.27974,-77.74733
51578,41.28188,-77.74946
51578,41.27755,-77.74441
51578,41.27639,-77.74393
51578,41.28183,-77.75004
51578,41.28047,-77.7451
51578,41.28161,-77.74925
51578,41.28055,-77.74715
51578,41.281,-77.74701
51578,41.28198,-77.74917
51578,41.28009,-77.74264
51578,41.28229,-77.74594
51578,41.28266,-77.74522
51578,41.28274,-77.74514
51635,40.86387,-78.05589
51635,40.86334,-78.0545
51635,40.86534,-78.05881
51635,40.86572,-78.0589
51635,40.86798,-78.05824
51635,40.86713,-78.05785
51635,40.86446,-78.05677
51635,40.86554,-78.0587
51635,40.86307,-78.05232
51635,40.86302,-78.05608
51635,40.86477,-78.05764
51635,40.86332,-78.05398
51635,40.86661,-78.05763
51635,40.86577,-78.05777
51635,40.863,-78.05615
51635,40.86852,-78.05852
51635,40.86841,-78.05882
51635,40.86828,-78.0584
51635,40.86848,-78.05859
51635,40.86852,-78.05866
51635,40.86345,-78.05441
51635,40.86334,-78.05444
51635,40.8633,-78.05559
51635,40.86781,-78.05824
51635,40.86336,-78.0557
51635,40.86856,-78.05838
51635,40.86771,-78.05834
51635,40.86347,-78.0545
51635,40.86321,-78.05448
51635,40.86337,-78.0546
51635,40.86356,-78.05434
